epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,941.539,0.91738,0.65985,0.96657,0.86011,0.81219,0.88387,0.62021,0.94084,inf,0.98083,0.000834822,0.000834822,0.000834822
44,963.527,0.90289,0.65599,0.96377,0.84981,0.80078,0.87088,0.61256,0.9393,inf,0.98585,0.000820675,0.000820675,0.000820675
45,983.366,0.9066,0.65119,0.96175,0.8365,0.79869,0.87013,0.59505,0.9597,inf,0.98307,0.000806528,0.000806528,0.000806528
46,1005.12,0.90106,0.65215,0.96144,0.85117,0.80545,0.8775,0.61581,0.92374,inf,0.97541,0.00079238,0.00079238,0.00079238
47,1028.01,0.90679,0.65041,0.96131,0.85022,0.81227,0.88309,0.62032,0.92981,inf,0.97575,0.000778233,0.000778233,0.000778233
48,1048.64,0.89516,0.64468,0.95676,0.84971,0.81684,0.88334,0.60486,0.9818,inf,0.98785,0.000764086,0.000764086,0.000764086
49,1070.02,0.89602,0.64427,0.95987,0.83889,0.80599,0.87731,0.60217,0.96742,inf,0.98239,0.000749939,0.000749939,0.000749939
50,1091.85,0.89776,0.63644,0.96113,0.86614,0.81934,0.89054,0.63669,0.9047,inf,0.9701,0.000735792,0.000735792,0.000735792
51,1112.42,0.89894,0.641,0.96014,0.85959,0.81908,0.89038,0.63781,0.89624,inf,0.96453,0.000721645,0.000721645,0.000721645
52,1134.27,0.89109,0.63498,0.95607,0.8526,0.82399,0.88958,0.62712,0.92917,inf,0.97536,0.000707498,0.000707498,0.000707498
53,1155.26,0.89229,0.63239,0.9589,0.86285,0.82483,0.89062,0.63488,0.90984,inf,0.97276,0.000693351,0.000693351,0.000693351
54,1176.31,0.88824,0.62811,0.9597,0.86548,0.82506,0.89299,0.63366,0.91183,inf,0.9708,0.000679204,0.000679204,0.000679204
55,1199.78,0.8937,0.63083,0.95721,0.86797,0.82465,0.89414,0.63993,0.90061,inf,0.96908,0.000665057,0.000665057,0.000665057
56,1219.74,0.88388,0.62227,0.9564,0.8498,0.82557,0.88527,0.61558,0.96347,inf,0.99168,0.000650909,0.000650909,0.000650909
57,1239.21,0.89133,0.62656,0.95648,0.86013,0.81945,0.89209,0.63368,0.92121,inf,0.97135,0.000636762,0.000636762,0.000636762
58,1261.12,0.89215,0.62217,0.95727,0.86576,0.81438,0.89102,0.62451,0.95597,inf,0.98349,0.000622615,0.000622615,0.000622615
59,1283.18,0.87933,0.61555,0.95476,0.85185,0.82021,0.88779,0.62102,0.95234,inf,0.98769,0.000608468,0.000608468,0.000608468
60,1303.89,0.87629,0.61328,0.952,0.8617,0.82056,0.89243,0.63895,0.90184,inf,0.96616,0.000594321,0.000594321,0.000594321
61,1325,0.87936,0.61477,0.95604,0.87296,0.83197,0.89975,0.6462,0.90015,inf,0.96458,0.000580174,0.000580174,0.000580174
62,1346.82,0.88273,0.60928,0.95267,0.86898,0.8166,0.89263,0.63664,0.90532,inf,0.9674,0.000566027,0.000566027,0.000566027
63,1369.81,0.8816,0.60838,0.95242,0.86971,0.81693,0.88917,0.63227,0.91299,inf,0.97074,0.00055188,0.00055188,0.00055188
64,1391.23,0.87665,0.60734,0.94916,0.85833,0.81708,0.88807,0.61284,0.97059,inf,0.98349,0.000537733,0.000537733,0.000537733
65,1410.81,0.87477,0.60664,0.9537,0.84371,0.81414,0.87679,0.59786,0.97157,inf,0.98636,0.000523586,0.000523586,0.000523586
66,1433.37,0.87364,0.60868,0.94953,0.85538,0.81534,0.87992,0.58965,1.00367,inf,0.99797,0.000509438,0.000509438,0.000509438
67,1454.3,0.86735,0.6014,0.94756,0.86517,0.8344,0.89749,0.64424,0.89681,inf,0.96959,0.000495291,0.000495291,0.000495291
68,1474.65,0.87401,0.60507,0.95017,0.85659,0.82174,0.88929,0.61988,0.9553,inf,0.9832,0.000481144,0.000481144,0.000481144
